,truth,pred
0,1.0,0.5165185928344727
1,1.0,0.5309320092201233
2,1.0,0.518080472946167
3,1.0,0.522565484046936
4,1.0,0.5181884765625
5,1.0,0.5166642665863037
6,1.0,0.5201504230499268
7,1.0,0.5197743773460388
8,1.0,0.5176067352294922
9,1.0,0.5158738493919373
10,1.0,0.5147445797920227
11,1.0,0.5223348140716553
12,1.0,0.5325415730476379
13,1.0,0.4969162046909332
14,1.0,0.5103050470352173
15,1.0,0.5172916054725647
16,1.0,0.5091807842254639
17,1.0,0.5097860097885132
18,1.0,0.5126001238822937
19,1.0,0.5127013325691223
20,1.0,0.5056580901145935
21,1.0,0.5051847696304321
22,1.0,0.4990309476852417
23,1.0,0.5094223618507385
24,1.0,0.5229235291481018
25,1.0,0.5051201581954956
26,1.0,0.5091772675514221
27,1.0,0.49963104724884033
28,1.0,0.5075709819793701
29,1.0,0.5069494843482971
30,1.0,0.5051683783531189
31,1.0,0.5184696912765503
32,1.0,0.5200051665306091
33,1.0,0.5193618535995483
34,1.0,0.5184355974197388
35,1.0,0.5168973207473755
36,1.0,0.5189275145530701
37,1.0,0.510709285736084
38,1.0,0.5200554728507996
39,1.0,0.5161181092262268
40,1.0,0.5183047652244568
41,1.0,0.5200209021568298
42,1.0,0.5103840827941895
43,1.0,0.513867199420929
44,1.0,0.5145043730735779
45,1.0,0.5156994462013245
46,1.0,0.5181068778038025
47,0.0,0.5091776847839355
48,0.0,0.5042440295219421
49,0.0,0.5154805779457092
50,0.0,0.5174943804740906
51,0.0,0.5154252648353577
52,0.0,0.5187975764274597
53,0.0,0.49643242359161377
54,0.0,0.5092372894287109
55,0.0,0.5197674632072449
56,0.0,0.5135390162467957
57,0.0,0.5184840559959412
58,0.0,0.5167089104652405
59,0.0,0.5036511421203613
60,0.0,0.5174382328987122
61,0.0,0.5171066522598267
