"","Lambda","AUC","train_mmd","train_recon","train_total","test_mmd","test_recon","Dataset"
"1",0.01,0.82,1.23901164531708,9.58784484863281,9.60019207000732,1.2768360376358,8.37243175506592,"BioHEART-CT"
"2",0.02,0.62,1.07445788383484,9.56038570404053,9.58191680908203,1.18222451210022,8.35036849975586,"BioHEART-CT"
"3",0.03,0.75,0.783785581588745,9.5808687210083,9.60438060760498,0.87832099199295,8.38711166381836,"BioHEART-CT"
"4",0.04,0.5,0.632674396038055,9.60688495635986,9.63217163085938,0.690971493721008,8.41057014465332,"BioHEART-CT"
"5",0.05,0.68,0.593589305877686,9.5922966003418,9.62197875976562,0.640742361545563,8.39544486999512,"BioHEART-CT"
"6",0.06,0.73,0.560982584953308,9.56996631622314,9.60365200042725,0.606617748737335,8.36747074127197,"BioHEART-CT"
"7",0.07,0.66,0.466611266136169,9.58730220794678,9.61992931365967,0.504401981830597,8.3735237121582,"BioHEART-CT"
"8",0.08,0.77,0.506386160850525,9.65058135986328,9.69106197357178,0.563835263252258,8.46975612640381,"BioHEART-CT"
"9",0.09,0.56,0.511467218399048,9.62561416625977,9.6716136932373,0.570038199424744,8.43050289154053,"BioHEART-CT"
"10",0.1,0.74,0.544375419616699,9.62493991851807,9.67938327789307,0.607524216175079,8.41722202301025,"BioHEART-CT"
