"","Truth","Predicted","Predicted_class"
"86","0",0.812407823887232,1
"90","1",0.689122208812833,1
"93","1",0.720754377072321,1
"101","0",0.648332159405524,1
"143","1",0.731518754112135,1
"155","1",0.660630985926127,1
"165","0",0.603526223041545,1
"205","1",0.78512973370135,1
"206","0",0.717934244328551,1
"209","1",0.590332324669027,1
"210","1",0.699482364371997,1
"218","0",0.643390484058307,1
"222","0",0.654932003518542,1
"233","0",0.614818530181529,1
"248","0",0.790134222019455,1
"262","1",0.780336769097227,1
"271","0",0.339864208456309,0
"274","0",0.774340090464391,1
"304","0",0.665416161607032,1
"313","1",0.688842793537004,1
"317","1",0.859870403148704,1
"332","0",0.566990342373857,1
"349","0",0.668958814986294,1
"365","1",0.675578758009276,1
"387","0",0.477850593079033,0
"405","0",0.658725669049301,1
"460","0",0.730433668650063,1
"505","0",0.813323641996908,1
"508","1",0.843516528335506,1
"516","1",0.870312253830795,1
"524","1",0.798612133495662,1
"527","1",0.733326544074943,1
"556","0",0.73754335121604,1
"567","1",0.654562239548796,1
"596","1",0.829358607236059,1
"605","0",0.71714508209327,1
"616","1",0.752435338794041,1
"634","0",0.676978583089245,1
"667","1",0.816241690089052,1
"668","0",0.758115797522215,1
"677","0",0.605189947340164,1
"693","1",0.643983394014528,1
"707","0",0.620750791617085,1
"720","0",0.46960690154734,0
"725","0",0.584444444939757,1
"736","1",0.669699690569749,1
"745","1",0.771407400655408,1
"763","0",0.836241179798885,1
"778","0",0.671807086406142,1
"780","0",0.708394501227841,1
"781","1",0.749269128370851,1
"794","0",0.452459732649044,0
"795","1",0.774255637745161,1
"802","1",0.616666437032447,1
"863","1",0.731935893440811,1
"874","0",0.487943867140971,0
"944","1",0.80414400296274,1
"965","1",0.817270495358005,1
