"","Bottleneck","AUC","train_mmd","train_recon","train_total","test_mmd","test_recon","Dataset"
"1",11,0.5,0.0140889687463641,10.2213478088379,10.2227783203125,0.0141557548195124,9.04255104064941,"BioHEART-CT"
"2",12,0.74,0.0122651485726237,10.1624526977539,10.1636838912964,0.0123048517853022,8.97479152679443,"BioHEART-CT"
"3",13,0.75,0.0107475994154811,10.1439237594604,10.1449708938599,0.0108337355777621,8.97108745574951,"BioHEART-CT"
"4",14,0.76,0.00982731580734253,10.1241865158081,10.125171661377,0.00994507223367691,8.93272113800049,"BioHEART-CT"
"5",15,0.66,0.00862116646021605,10.1493616104126,10.1502132415771,0.00871954578906298,8.95577049255371,"BioHEART-CT"
"6",16,0.83,0.00795646663755178,10.1100845336914,10.1108875274658,0.00821324624121189,8.92069435119629,"BioHEART-CT"
"7",17,0.71,0.00730478065088391,10.1815710067749,10.1823110580444,0.00736940558999777,9.01723670959473,"BioHEART-CT"
"8",18,0.76,0.00661168294027448,10.1371831893921,10.137843132019,0.0066922283731401,8.94258117675781,"BioHEART-CT"
"9",19,0.81,0.00619485089555383,10.2691431045532,10.2697515487671,0.00629451731219888,9.10142135620117,"BioHEART-CT"
"10",20,0.67,0.00584396300837398,10.1953439712524,10.1959323883057,0.00588684529066086,9.0278902053833,"BioHEART-CT"
